time,score
380.95743799209595,0.310438671875
765.4060659408569,0.4669580078125
1149.772819519043,0.4923171875
1534.0953044891357,0.52560224609375
1917.71808385849,0.55566572265625
2301.812943458557,0.57743564453125
2685.8467791080475,0.58451494140625
3069.450679540634,0.6166150390625
3453.1820685863495,0.59484658203125
3837.235358476639,0.59794052734375
4221.159461021423,0.6487640625
4605.336886167526,0.63932177734375
4989.216065406799,0.63042001953125
5373.009846448898,0.65517880859375
5757.209867238998,0.64930146484375
6141.037938833237,0.665271875
6524.782288312912,0.65684814453125
6908.599322795868,0.662348828125
7292.760860919952,0.66888720703125
7676.386360883713,0.67331396484375
8060.235599517822,0.6641298828125
8444.30636715889,0.6793537109375
8828.009796619415,0.66918994140625
9211.538535833359,0.68404384765625
9595.290103197098,0.68394794921875
9978.848103284836,0.68262626953125
10362.415817022324,0.68498642578125
10746.405309438705,0.68124853515625
11130.298917531967,0.67982021484375
11514.413857460022,0.6763375
11898.315475225449,0.677291015625
12281.952090978622,0.6640779296875
12666.135855674744,0.67664384765625
